,music,semantic,speech,syntactic
music,0.0,0.12497938725703044,0.07936568872708227,0.18133696986571693
semantic,0.12497938725703044,0.0,0.08767932350504153,0.14089628815481534
speech,0.07936568872708227,0.08767932350504153,0.0,0.14009833253309778
syntactic,0.18133696986571693,0.14089628815481534,0.14009833253309778,0.0
